,year,district,name,sex,party,vote_count,vote_percent
45,2014,"Berkshire, Hampshire and Franklin",Benjamin B. Downing,m,Democratic,"40,795",99.6
46,2014,Bristol and Norfolk,James E. Timilty,m,Democratic,"38,762",99.1
47,2014,1st Bristol and Plymouth,Michael J. Rodrigues,m,Democratic,"26,022",65.3
48,2014,2nd Bristol and Plymouth,Mark C. Montigny,m,Democratic,"28,945",98.7
49,2014,Cape and Islands,Daniel A. Wolf,m,Democratic,"46,960",62.4
50,2014,1st Essex,Kathleen A. O'Connor Ives,f,Democratic,"30,107",53.8
51,2014,2nd Essex,Joan B. Lovely,f,Democratic,"44,386",98.8
52,2014,3rd Essex,Thomas M. McGee,m,Democratic,"39,528",98.9
53,2014,1st Essex and Middlesex,Bruce E. Tarr,m,Republican,"57,641",99.4
54,2014,2nd Essex and Middlesex,Barbara A. L'Italien,f,Democratic,"24,559",53.2
55,2014,Hampden,James T. Welch,m,Democratic,"25,271",98.0
56,2014,1st Hampden and Hampshire,Eric Philip Lesser,m,Democratic,"28,153",50.4
57,2014,2nd Hampden and Hampshire,"Donald F. Humason, Jr",m,Republican,"27,817",56.6
58,2014,"Hampshire, Franklin and Worcester",Stanley C. Rosenberg,m,Democratic,"44,012",99.1
59,2014,1st Middlesex,Eileen M. Donoghue,f,Democratic,"32,835",98.0
60,2014,2nd Middlesex,Patricia D. Jehlen,f,Democratic,"41,685",75.5
61,2014,3rd Middlesex,Michael J. Barrett,m,Democratic,"34,750",59.2
62,2014,4th Middlesex,Kenneth J. Donnelly,m,Democratic,"45,974",98.9
63,2014,5th Middlesex,Jason M. Lewis,m,Democratic,"10,611",53.0
64,2014,5th Middlesex,Jason M. Lewis,m,Democratic,"32,143",56.8
65,2014,1st Middlesex and Norfolk,Cynthia Stone Creem,f,Democratic,"43,655",98.8
66,2014,2nd Middlesex and Norfolk,Karen E. Spilka,f,Democratic,"38,191",98.3
67,2014,Middlesex and Worcester,James B. Eldridge,m,Democratic,"45,379",98.6
68,2014,Middlesex and Suffolk,Sal N. DiDomenico,m,Democratic,"31,575",98.8
69,2014,"Norfolk, Bristol and Middlesex",Richard J. Ross,m,Republican,"34,952",61.0
70,2014,"Norfolk, Bristol and Plymouth",Brian A. Joyce,m,Democratic,"41,348",98.9
71,2014,Norfolk and Plymouth,John F. Keenan,m,Democratic,"32,679",66.0
72,2014,Norfolk and Suffolk,Michael F. Rush,m,Democratic,"42,954",98.7
73,2014,Plymouth and Barnstable,Vinny M. deMacedo,m,Republican,"38,250",61.1
74,2014,Plymouth and Norfolk,"Robert L. Hedlund, Jr",m,Republican,"55,294",99.1
75,2014,1st Plymouth and Bristol,Marc R. Pacheco,m,Democratic,"31,538",60.9
76,2014,2nd Plymouth and Bristol,Thomas P. Kennedy,m,Democratic,"29,522",66.5
77,2014,1st Suffolk,Linda Dorcena Forry,f,Democratic,"32,298",83.7
78,2014,2nd Suffolk,Sonia Rosa Chang-Diaz,f,Democratic,"33,742",89.8
79,2014,1st Suffolk and Middlesex,Anthony W. Petruccelli,m,Democratic,"30,523",98.1
80,2014,2nd Suffolk and Middlesex,William N. Brownsberger,m,Democratic,"30,514",98.2
81,2014,Worcester and Middlesex,Jennifer L. Flanagan,f,Democratic,"29,133",60.4
82,2014,Worcester and Norfolk,Ryan C. Fattman,m,Republican,"29,774",55.7
83,2014,"Worcester, Hampden, Hampshire and Middlesex",Anne M. Gobi,f,Democratic,"27,847",50.3
84,2014,1st Worcester,Harriette L. Chandler,f,Democratic,"27,576",60.2
130,2014,"Berkshire, Hampshire and Franklin",Benjamin B. Downing,m,Democratic,"40,795",99.6
131,2014,Bristol and Norfolk,James E. Timilty,m,Democratic,"38,762",99.1
